2023-11-28-10-32-10_hotel-import-format-7-xls, Added by- Bhanu Pratap, IP Address- 122.161.50.161
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-28-10-32-10_hotel-import-format-7-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-5. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-5. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-5.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-6. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-6. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-6.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-7. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-7. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-7.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-8. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-8. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-8.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-9. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-9. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-9.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-10. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-10. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-10.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-11. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-11. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-11.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-12. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-12. Warning: City does not exits...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-12.  Failed: Hotel Category keyword does not exist...! - 28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Total Records List. - 12 - Success Entry(0), Failed Entry(12), Updated Entry(0)_28-11-2023 10:32am, Added by- Bhanu Pratap, IP Address- 122.161.50.161
